Compound,Structure_family,CB2,CB1,Function,Potency,Selectivity,Evidence,Source
JWH133,CB2-selective agonist (indole),selective CB2 agonist,low CB1,CB2-selective agonist,NOT FOUND (this audit; literature nM-class),CB2-selective,Pulmonary fibrosis bleomycin model antifibrotic evidence (not Qiu chemotype),BMC Pulm Med 2023 DOI:10.1186/s12890-023-02747-3
AM6545 + AM1241 (combo),peripheral CB1 neutral ant + CB2 ago (two drugs),AM1241 CB2 ago; AM6545 not CB2 ago,AM6545 peripheral CB1 ant,dual-therapy concept (not monomolecular Janus),NOT FOUND as single-molecule potencies here,N/A (combo),Experimental diabetic nephropathy: dual > mono for albuminuria/inflammation/fibrosis markers,Barutta et al. dual therapy DOI via literature (Nephrol Dial Transplant / related; see iris.unito.it handle 2318/1640601)
Makriyannis WO2022026478 Compound 1 example,pyrazole/azole Markush incl. thiomorpholine dioxide motifs,Ki >1000 nM (example Compound 1),Ki 1 nM (example Compound 1),application claims mixed CB1-ant/CB2-ago for fibrosis; exemplified Compound 1 is CB1-hyperselective,CB1 Ki 1 nM; CB2 Ki >1000 nM (example),CB1-selective in that example,Patent application text (not peer-reviewed paper); fibrosis liver/lung/kidney claims — not FTO opinion,WO2022026478A1; US20230234928A1
JANUS_D2_20,URB447-like pyrrole (project analog),NOT FOUND (no published wet),NOT FOUND,hypothesis only (project),NOT FOUND,NOT FOUND,Docking/geometry only in janusforge 0G–0J; no literature pharmacology,janusforge repo (OBSERVED compute only)
JANUS_D2_06,URB447-like pyrrole (project analog),NOT FOUND,NOT FOUND,hypothesis only (project),NOT FOUND,NOT FOUND,Docking/geometry only; no literature pharmacology,janusforge repo
JANUS_D2_22,URB447-like pyrrole (historical lead),NOT FOUND,NOT FOUND (MD CB1 NO-GO historical),OUT of positive validation arm,NOT FOUND,NOT FOUND,feature_swap pose + MD membrane 20 ns NO-GO trinquete; not literature Janus proof,janusforge repo reports
Ge-2023 compound 6 (example),benzylidenethiazolidinedione series (not Qiu),potent CB2 agonist (paper),selective vs CB1 in paper,CB2-selective agonist from LRIP design,EC50 reported in Ge tables (calcium mobilization CHO-CB),CB2-selective claimed,Compute→wet: LRIP + MD/MM-PBSA; overall function prediction accuracy ~69%; CB2-selective agonist prediction success ~62%; derivative success rate claimed ~70%,Ge et al. ACS Chem Neurosci 2023 DOI:10.1021/acschemneuro.3c00580
Ge-2023 compound 39 (example),same campaign,CB2 antagonist (paper),N/A,CB2 antagonist correctly classified by LRIP in paper narrative,IC50 reported in Ge tables,CB2 antagonist,Shows MD/LRIP can misclassify function without wet (paper notes antagonist flips),Ge et al. 2023 DOI:10.1021/acschemneuro.3c00580
THCV,phytocannabinoid varin,partial CB2 agonist (classical),CB1 antagonist at low dose; agonist flip at high dose,imperfect natural Janus,NOT FOUND (assay/dose-dependent; do not invent),imperfect,Classical pharmacology; flip CB1 known; no Qiu-14 relationship; IPF primary paper not found in prior audits,Pertwee/Bolognini/McPartland literature (see docs/literatura_prioridad_y_novelty.md)
MRI-1867 / zevaquenabant,hybrid CB1/iNOS inhibitor (not CB2 ago),NOT FOUND as CB2 ago,peripheral CB1 ant + iNOS,dual CB1/iNOS antifibrotic clinical path,NOT FOUND here,N/A,Clinical/preclinical fibrosis path distinct from CB1-ant/CB2-ago Janus,US9765031B2; Cinar IPF program literature
Citing paper 2025 peptide,CB2 agonist peptide (not Qiu pyrazole),CB2 agonist peptide (paper topic),NOT FOUND,unrelated chemotype; cites Qiu conceptually,NOT FOUND for Qiu-14 reuse,N/A,Only OpenAlex/EuropePMC citation of Qiu 2023 found (count=1); does NOT reproduce Qiu-14/15/20/24,Bioorg Chem 2025 DOI:10.1016/j.bioorg.2025.108770 PMID:40714479
